

time(s),pulse,score,player,coin
2020-08-25 5:24:54 PM
0.032135,0,1.25,null,
0.0560316,0,1.25,null,
0.0647115,0,1.25,null,
0.0817938,0,1.25,null,
0.0982136,0,0.03157895,null,
0.1147535,0,0.03157895,null,
0.1317414,0,0.03157895,null,
0.1483717,0,0.03157895,null,
0.1649941,0,0.03157895,null,
0.1818699,0,0.03157895,null,
0.1987607,0,0.03157895,null,
0.2150845,0,0.03157895,null,
0.2324086,0,0.03157895,null,
0.2486588,0,0.03157895,null,
0.2653935,0,0.03157895,null,
0.2820372,0,0.03157895,null,
0.2981847,0,0.03157895,null,
0.3148603,0,0.03157895,null,
0.3320107,0,0.03157895,null,
0.3481884,0,0.03157895,null,
0.365193,0,0.03157895,null,
0.3823642,0,0.03157895,null,
0.3986008,0,0.03157895,null,
0.4153075,0,0.03157895,null,
0.4318866,0,0.03157895,null,
0.4487301,0,0.03157895,null,
0.4652795,0,0.03157895,null,
0.4816761,0,0.03157895,null,
0.4984229,0,0.03157895,null,
0.5153821,0,0.03157895,null,
0.5321528,0,0.03157895,null,
0.5489565,0,0.03157895,null,
0.5650346,0,0.03157895,null,
0.5817361,0,0.03157895,null,
0.5984421,0,0.03157895,null,
0.6149576,0,0.03157895,null,
0.6320652,0,0.03157895,null,
0.6484767,0,0.03157895,null,
0.6651727,0,0.03157895,null,
0.6818443,0,0.03157895,null,
0.6988763,0,0.03157895,null,
0.7150523,0,0.03157895,null,
0.7319111,0,0.03157895,null,
0.7485973,0,0.03157895,null,
0.765024,0,0.03157895,null,
0.7816658,0,0.03157895,null,
0.7982176,0,0.03157895,null,
0.8149512,0,0.03157895,null,
0.8316113,0,0.03157895,null,
0.8482833,0,0.03157895,null,
0.8660521,0,0.03157895,null,
0.8819696,0,0.03157895,null,
0.8987784,0,0.03157895,null,
0.9154287,0,0.03157895,null,
0.932154,0,0.03157895,null,
0.9488391,0,0.03157895,null,
0.9656096,0,0.03157895,null,
0.981911,0,0.03157895,null,
0.9989373,0,0.03157895,null,
1.015303,0,0.03157895,null,
1.031987,0,0.03157895,null,
1.048524,0,0.03157895,null,
1.06521,0,0.03157895,null,
1.082227,0,0.03157895,null,
1.098313,0,0.03157895,null,
1.115188,0,0.03157895,null,
1.131674,0,0.03157895,null,
1.148244,0,0.03157895,null,
1.164873,0,0.03157895,null,
1.181975,0,0.03157895,null,
1.198186,0,0.03157895,null,
1.214922,0,0.03157895,null,
1.231537,0,0.03157895,null,
1.248812,0,0.03157895,null,
1.265143,0,0.03157895,null,
1.281569,0,0.03157895,null,
1.298309,0,0.03157895,null,
1.314977,0,0.03157895,null,
1.331574,0,0.03157895,null,
1.348441,0,0.03157895,null,
1.364923,0,0.03157895,null,
1.381927,0,0.03157895,null,
1.398502,0,0.03157895,null,
1.415192,0,0.03157895,null,
1.43252,0,0.03157895,null,
1.448615,0,0.03157895,null,
1.465318,0,0.03157895,null,
1.482327,0,0.03157895,null,
1.498681,0,0.03157895,null,
1.515336,0,0.03157895,null,
1.532029,0,0.03157895,null,
1.548697,0,0.03157895,null,
1.565536,0,0.03157895,null,
1.581701,0,0.03157895,null,
1.598267,0,0.03157895,null,
1.615129,0,0.03157895,null,
1.631871,0,0.03157895,null,
1.648274,0,0.03157895,null,
1.665469,0,0.03157895,null,
1.681621,0,0.03157895,null,
1.698347,0,0.03157895,null,
1.715044,0,0.03157895,null,
1.731885,0,0.03157895,null,
1.748469,0,0.03157895,null,
1.76543,0,0.03157895,null,
1.781711,0,0.03157895,null,
1.798743,0,0.03157895,null,
1.815025,0,0.03157895,null,
1.83191,0,0.03157895,null,
1.848343,0,0.03157895,null,
1.86525,0,0.03157895,null,
1.881683,0,0.03157895,null,
1.898623,0,0.03157895,null,
1.915292,0,0.03157895,null,
1.93226,0,0.03157895,null,
1.948701,0,0.03157895,null,
1.965559,0,0.03157895,null,
1.982007,0,0.03157895,null,
1.998647,0,0.03157895,null,
2.015613,0,0.03157895,null,
2.032203,0,0.03157895,null,
2.04872,0,0.03157895,null,
2.065523,0,0.03157895,null,
2.081838,0,0.03157895,null,
2.098613,0,0.03157895,null,
2.114799,0,0.03157895,null,
