14,55,50,547,
Time (s), x, y 
0.029,407,281
0.075,408,279
0.121,408,279
0.165,408,278
0.21,407,278
0.255,407,280
0.286,406,282
0.331,405,285
0.376,404,289
0.421,403,293
0.467,401,302
0.511,400,305
0.556,400,309
0.601,399,312
0.646,399,313
0.69,399,315
0.734,399,315
0.78,401,311
0.826,402,307
0.871,403,302
0.917,404,297
0.962,405,293
1.008,405,289
1.055,406,286
1.101,407,280
1.146,407,278
1.19,407,275
1.236,407,272
1.28,407,273
1.326,406,273
1.356,406,273
1.386,406,275
1.43,405,276
1.474,405,279
1.52,404,282
1.566,403,289
1.61,402,293
1.655,402,293
1.701,401,300
1.746,400,302
1.792,400,304
1.838,400,306
1.882,400,306
1.927,401,303
1.972,402,300
2.017,403,296
2.063,403,293
2.092,404,289
2.136,405,286
2.18,405,283
2.225,406,281
2.271,406,280
2.316,405,280
2.361,405,280
2.406,405,279
2.451,405,280
2.496,405,281
2.542,405,282
2.587,405,284
2.631,405,284
2.677,405,284
2.722,405,285
2.766,404,287
2.811,404,290
2.856,403,293
2.902,403,295
2.948,402,298
2.978,402,298
3.024,402,297
3.068,402,297
3.113,401,297
3.159,401,296
3.204,402,296
3.25,402,293
3.294,402,292
3.339,403,285
3.37,403,285
3.416,405,276
3.46,405,276
3.505,405,270
3.55,412,290
3.595,406,263
3.64,406,263
3.686,406,262
3.73,405,263
3.774,405,263
3.819,404,264
3.865,404,266
3.91,404,268
3.956,404,267
4.0,404,268
4.046,404,268
4.09,404,271
4.135,404,269
4.179,404,270
4.225,404,270
4.27,404,272
4.314,404,271
4.359,404,273
4.404,404,273
4.45,404,273
4.494,404,273
4.54,405,273
4.584,404,274
4.63,404,276
4.675,404,280
4.719,403,283
4.763,401,289
4.809,397,307
4.855,395,315
4.886,393,321
4.931,392,326
4.977,392,328
5.023,392,331
5.068,392,331
5.114,392,331
5.159,392,331
5.204,392,331
5.25,392,332
5.295,392,331
5.34,392,332
5.384,392,331
5.429,391,331
5.475,391,331
5.521,391,331
5.566,391,330
5.612,391,329
5.641,391,329
5.687,391,330
5.718,391,330
5.763,390,330
5.808,390,331
5.852,390,331
5.896,390,332
5.942,390,332
5.987,391,328
6.032,393,324
6.078,394,319
6.123,397,312
6.168,399,305
6.213,401,297
6.257,403,290
6.303,404,285
6.347,406,278
6.393,406,278
6.438,406,275
6.483,413,298
6.528,413,294
6.573,413,295
6.617,413,295
6.663,414,294
6.708,414,293
6.753,415,292
6.798,415,292
6.843,415,291
6.889,416,290
6.935,416,290
6.98,416,289
7.026,417,289
7.07,417,288
7.116,417,288
7.162,417,288
7.208,417,287
7.254,417,287
7.299,417,286
7.344,417,285
7.39,416,285
7.435,417,285
7.481,416,285
7.527,416,286
7.571,416,286
7.615,415,289
7.661,415,293
7.707,414,298
7.753,405,283
7.799,403,289
7.843,403,291
7.888,401,296
7.933,401,300
7.979,401,300
8.024,400,304
8.068,400,307
8.113,400,308
8.159,399,309
8.203,398,311
8.249,398,314
8.294,397,316
8.34,396,319
8.386,394,322
8.431,394,323
8.476,393,323
8.521,393,323
8.567,393,323
8.613,393,324
8.658,393,325
8.702,392,326
8.747,391,328
8.793,390,329
8.838,390,330
8.883,389,331
8.929,389,331
8.975,389,331
9.02,388,331
9.065,388,333
9.11,388,333
9.155,388,333
9.2,388,333
9.23,389,331
9.275,391,328
9.304,392,323
9.348,395,316
9.409,397,310
9.454,400,297
9.499,402,294
9.544,409,313
9.59,410,310
9.636,410,306
9.665,409,309
9.709,408,310
9.754,407,311
9.8,399,287
9.845,405,314
9.89,404,319
9.934,403,318
9.978,396,295
10.022,396,297
10.068,395,299
10.113,395,301
10.158,393,306
10.203,392,310
10.249,391,314
10.295,390,316
10.324,389,318
10.369,388,321
10.413,388,322
10.459,388,323
10.505,388,322
10.551,389,320
10.597,390,318
10.641,391,317
10.686,391,314
10.716,391,314
10.762,392,312
10.807,392,311
10.839,393,311
2020-09-02 14:56:01.600108
